date,title,summary,link
2026-03-22,【神山股民2】195萬零股股東到底持有多少台積電股票？ 破4300億元 - Yahoo股市,"<a href=""https://news.google.com/rss/articles/CBMinwNBVV95cUxOMklkaHdIZExUX1ZwdDcwZ2F1WF9kcFJIVUtrWVRrWkptcU9PQTAyUklXWkFaWVN3M2RCT1U1YWtVSzR1TFNEeUw0RlduYmJ6dlJZYWdGQWVobGVLcjdEU3lWeUp6NXJRVmZDMWxZWURreFdwMnE4dGVobWxDZ3ZfdVNpem4yVVd5eXBhZTNtYVFmMkpITm42S3BCdEk5eFNKZ1ZyQU44dEdYOWFtb1BKU19zTlNRQ1dTUFo5REZtOTYyRmZ3Vk9ReW1sV01MSThvd3B4eFJiQ0htVjJRZGxUV3VBUnJRc2F5ZDJ1WnVCbDQtdDhDaGt3N1ljZkZwRkNFUWdzWWluY3JtUllsZGV2SEc0RGhiZ2pBSTNRVUZZYWxPbDhxZFJkVHRwbVNyUldhUk14NVFxVDJ0MkZTTF9yMnZYMlVUR1JrblVMSkJ6Y00tUzlMV0F6bzY3SXZoWDVqR2ZxNkFMZFlwb0dsUFpmM05oRjBwcGptSVk1aFpVYVN4b1RNcnNSUkJtX2ZjeFZCOHNOcXBxSlRuZlZOcnA4?oc=5"" target=""_blank"">【神山股民2】195萬零股股東到底持有多少台積電股票？ 破4300億元</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo股市</font>",https://news.google.com/rss/articles/CBMinwNBVV95cUxOMklkaHdIZExUX1ZwdDcwZ2F1WF9kcFJIVUtrWVRrWkptcU9PQTAyUklXWkFaWVN3M2RCT1U1YWtVSzR1TFNEeUw0RlduYmJ6dlJZYWdGQWVobGVLcjdEU3lWeUp6NXJRVmZDMWxZWURreFdwMnE4dGVobWxDZ3ZfdVNpem4yVVd5eXBhZTNtYVFmMkpITm42S3BCdEk5eFNKZ1ZyQU44dEdYOWFtb1BKU19zTlNRQ1dTUFo5REZtOTYyRmZ3Vk9ReW1sV01MSThvd3B4eFJiQ0htVjJRZGxUV3VBUnJRc2F5ZDJ1WnVCbDQtdDhDaGt3N1ljZkZwRkNFUWdzWWluY3JtUllsZGV2SEc0RGhiZ2pBSTNRVUZZYWxPbDhxZFJkVHRwbVNyUldhUk14NVFxVDJ0MkZTTF9yMnZYMlVUR1JrblVMSkJ6Y00tUzlMV0F6bzY3SXZoWDVqR2ZxNkFMZFlwb0dsUFpmM05oRjBwcGptSVk1aFpVYVN4b1RNcnNSUkJtX2ZjeFZCOHNOcXBxSlRuZlZOcnA4?oc=5
2026-03-25,台積電地緣風險成焦點　投資人該拋售？分析師揭關鍵：比巴菲特想的更穩 - 三立新聞網SETN.com,"<a href=""https://news.google.com/rss/articles/CBMiWEFVX3lxTE5aZ2NkeDEtU2xkTlF4OVN5NTFCRXllVkRhamZpVFQ0QWhJQTREanY2UUtxMl8yTDNKNTU5UzNIR3AtQ2dLS2hwcG02TE42WHNnYXR4TGRxdHjSAV9BVV95cUxNOXdwVnN0bXREdlpZY3ZqSGJlVVo5QVZSM2tDRUNaWlV6Y1M2Mms5aUlkU0JNNl81T1JOWFd1ZkcyVnRCS21OV0pOWFpsWi1PM0ZhVG9mSkU5ek5ISUhwRQ?oc=5"" target=""_blank"">台積電地緣風險成焦點　投資人該拋售？分析師揭關鍵：比巴菲特想的更穩</a>&nbsp;&nbsp;<font color=""#6f6f6f"">三立新聞網SETN.com</font>",https://news.google.com/rss/articles/CBMiWEFVX3lxTE5aZ2NkeDEtU2xkTlF4OVN5NTFCRXllVkRhamZpVFQ0QWhJQTREanY2UUtxMl8yTDNKNTU5UzNIR3AtQ2dLS2hwcG02TE42WHNnYXR4TGRxdHjSAV9BVV95cUxNOXdwVnN0bXREdlpZY3ZqSGJlVVo5QVZSM2tDRUNaWlV6Y1M2Mms5aUlkU0JNNl81T1JOWFd1ZkcyVnRCS21OV0pOWFpsWi1PM0ZhVG9mSkU5ek5ISUhwRQ?oc=5
2026-03-23,【拾荒老兵趙衍慶病逝 遺產一查竟持有「滿手台積電」】 （圖／許和鈞提供） 還有不少股票在手。(#起啵) - facebook.com,"<a href=""https://news.google.com/rss/articles/CBMipgRBVV95cUxOdlZWNVNRbWg5SzNpVWpwM1ZmTm5ua0cwd0NaRFgxVjRZV0JpTWxDNXJ5X2wxQ3VvQUdyXzF1RlFPVWQ3d0NHcmZVTGdkdGVGUlZyMngzOEFQMmlZRy1xVG4tWmRrRTh4d3ZVWG9vQlVIbWRxaVRSaWoxWWM4R3hTX3p3TTdkdWo5NmVyQ2ttWjBlNVg0d3FqYlhrNGlrcTR5YkF6amFXbko3VENXMmdfa0QwX05iQXUtSUNQVF9uaG1vSXZ4YXczbzg1UzJPWUhzTE9BdEdFVEN6VzRfQ3o3R01KbjVUTHZQY0RJcGRKR3BhM1hMUEhQQm9ZTzhBenBGSUM2WFpBVE9LNnRXYnA3N1lSaXM4Um5ZaU5pOWtQX1FCUEVJcEY3MTQ1cU1Sb1ZjT0VCZ1l0blFkN1Jad2l5TUJSbTlsZmphWGZ6MnFtd1dEUG5pSkFmN2E3VVlROUNSak5IQTQzTTZ1dC1ldmozT2hNbEk3TmI5OWxqWkJxdUl3U3d5cE5kVFNDRW9JSmdBZENZRTNQbFJsMTUxQ0dZbGI2dGRuQm0zZkVfQVZET2RwMy1Ebkc0MHJzY2l4NmpMRnk1VWJlTTBQR2lpcHVCelNNeVlVcTBQNzl4N3J6YVFXeDl3R18yVTBFOFhBaFRzeWVROWJ0bDV5REtCQzc1enJXMDl4WWRHMDVoS0ZGUVhDWmcxNTJBYUhhaVN4WTEwT2M0dXRB?oc=5"" target=""_blank"">【拾荒老兵趙衍慶病逝 遺產一查竟持有「滿手台積電」】 （圖／許和鈞提供） 還有不少股票在手。(#起啵)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">facebook.com</font>",https://news.google.com/rss/articles/CBMipgRBVV95cUxOdlZWNVNRbWg5SzNpVWpwM1ZmTm5ua0cwd0NaRFgxVjRZV0JpTWxDNXJ5X2wxQ3VvQUdyXzF1RlFPVWQ3d0NHcmZVTGdkdGVGUlZyMngzOEFQMmlZRy1xVG4tWmRrRTh4d3ZVWG9vQlVIbWRxaVRSaWoxWWM4R3hTX3p3TTdkdWo5NmVyQ2ttWjBlNVg0d3FqYlhrNGlrcTR5YkF6amFXbko3VENXMmdfa0QwX05iQXUtSUNQVF9uaG1vSXZ4YXczbzg1UzJPWUhzTE9BdEdFVEN6VzRfQ3o3R01KbjVUTHZQY0RJcGRKR3BhM1hMUEhQQm9ZTzhBenBGSUM2WFpBVE9LNnRXYnA3N1lSaXM4Um5ZaU5pOWtQX1FCUEVJcEY3MTQ1cU1Sb1ZjT0VCZ1l0blFkN1Jad2l5TUJSbTlsZmphWGZ6MnFtd1dEUG5pSkFmN2E3VVlROUNSak5IQTQzTTZ1dC1ldmozT2hNbEk3TmI5OWxqWkJxdUl3U3d5cE5kVFNDRW9JSmdBZENZRTNQbFJsMTUxQ0dZbGI2dGRuQm0zZkVfQVZET2RwMy1Ebkc0MHJzY2l4NmpMRnk1VWJlTTBQR2lpcHVCelNNeVlVcTBQNzl4N3J6YVFXeDl3R18yVTBFOFhBaFRzeWVROWJ0bDV5REtCQzc1enJXMDl4WWRHMDVoS0ZGUVhDWmcxNTJBYUhhaVN4WTEwT2M0dXRB?oc=5
2026-03-24,曾拿200萬選市長！拾荒老兵趙衍慶辭世 遺產全是台積電 - Yahoo新聞,"<a href=""https://news.google.com/rss/articles/CBMi3wJBVV95cUxQZGx5Z1ZYSFVxZGEtZjZOanNUTHE2UTFjejh2MWVSZEkxS1VsbUFFekQzcUY2Z2xhZVJxLWFfY1dRcS1feFVCMUVHck9sX1NGNFkxNkpmT2p6THFsVk1GZlVuZlZRQzVpZU9zejJ5VXBTVV9jckhmb3hTM2VQZ1pYcDRBU1RnTmRVeTdxV0JwMlJLNGRqejNMd2xmd0RwV2lnQTRkMHQ3MWN1WUU4dTV4TnlTVnIzQnFmMTZQcm1BcEljS2NabUtNWlJJV1k2NnFFYjM4R2pxak9TT2IydDc0MWRuX1J0S015eEEtcERLOE1hS2NvakRoVXItYWpVV1FXS2JSSjBjTGkwWHEwbVl5SnVHT1JNUlpfRUNmYTFpamFWOUdzenFTUWZUN2l6SUpOcTdwNXp4VWFibUVNUXpkOWhDODZLeEhWM1gwMk01cUQ1Qi1Zeng2ODR6VEptZmc?oc=5"" target=""_blank"">曾拿200萬選市長！拾荒老兵趙衍慶辭世 遺產全是台積電</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo新聞</font>",https://news.google.com/rss/articles/CBMi3wJBVV95cUxQZGx5Z1ZYSFVxZGEtZjZOanNUTHE2UTFjejh2MWVSZEkxS1VsbUFFekQzcUY2Z2xhZVJxLWFfY1dRcS1feFVCMUVHck9sX1NGNFkxNkpmT2p6THFsVk1GZlVuZlZRQzVpZU9zejJ5VXBTVV9jckhmb3hTM2VQZ1pYcDRBU1RnTmRVeTdxV0JwMlJLNGRqejNMd2xmd0RwV2lnQTRkMHQ3MWN1WUU4dTV4TnlTVnIzQnFmMTZQcm1BcEljS2NabUtNWlJJV1k2NnFFYjM4R2pxak9TT2IydDc0MWRuX1J0S015eEEtcERLOE1hS2NvakRoVXItYWpVV1FXS2JSSjBjTGkwWHEwbVl5SnVHT1JNUlpfRUNmYTFpamFWOUdzenFTUWZUN2l6SUpOcTdwNXp4VWFibUVNUXpkOWhDODZLeEhWM1gwMk01cUQ1Qi1Zeng2ODR6VEptZmc?oc=5
2026-03-21,台積電股東數246萬人再創新高 零股股東近196萬人帶動向前衝 - 自由財經,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE9OWi1POVE2ZDBMVlFSOGwzQ29rd3pYTkJVLUwyckNCbGpIM1B6cnV4TE1aWVBGQ1VkOGdUR0xpcWREOTlqa29lSGNnc2RnMnh1YmxjRXNJeS1rc0xJV29F0gFkQVVfeXFMTWotbTcyN20zQVZ4UEFnTkFnVC1FbnRnWENXRVNSbWp4S0puQ3BxMTZsMER5NzF2MEhnUklVVDFtUktSZWhvWmJwSnNqaDRydEdLbC1lT05xejJzODAyWG9NUjQ4Sg?oc=5"" target=""_blank"">台積電股東數246萬人再創新高 零股股東近196萬人帶動向前衝</a>&nbsp;&nbsp;<font color=""#6f6f6f"">自由財經</font>",https://news.google.com/rss/articles/CBMiX0FVX3lxTE9OWi1POVE2ZDBMVlFSOGwzQ29rd3pYTkJVLUwyckNCbGpIM1B6cnV4TE1aWVBGQ1VkOGdUR0xpcWREOTlqa29lSGNnc2RnMnh1YmxjRXNJeS1rc0xJV29F0gFkQVVfeXFMTWotbTcyN20zQVZ4UEFnTkFnVC1FbnRnWENXRVNSbWp4S0puQ3BxMTZsMER5NzF2MEhnUklVVDFtUktSZWhvWmJwSnNqaDRydEdLbC1lT05xejJzODAyWG9NUjQ4Sg?oc=5
2026-03-25,以為是窮阿伯！拾荒老兵趙衍慶91歲辭世 清查遺產驚見「滿手台積電」 - MSN,"<a href=""https://news.google.com/rss/articles/CBMi8ANBVV95cUxOSnFsWGdySm9Ud0xJU2FwUUlVOG9sX3FLTmttazVoUW9nZ2VQMEc4MnVMOEJOUDFPQllPOW5JNE5LUUU5cVpYN2pkWENwVDBsTDJSRmhHQXRJaE9uMGdVQk9YWHltWkxlRklTQ1NobDRMdmNrbFVRdVZmWHBTNnZ4MVJGWlZITkZ1NEktYVB2S3FWc0xiZjl1N1JfQWhmbUJ3R2RYZldyR0xic285X0s3bXRuZnJUY3pHZE92VExoak9zYVlFWnVFZUVzREpDSUxnMEFpUUdSSnliWUNIODdfU2kwdHdoUlFlS1R4dHlQVy1FTlR1RlZ4UEVrbHRCcWp4bUNBeUlzdDJXTXh1bnFOWXRBbVhNdHFhcXNFMi1KYzN4c0RTVXlmZW5leDV2b2UtZFY4Znh0VFp3RGhGOFNuQU91ZFAwMmRSUXdPWGlud1d6X0lnRUo4RW5BcDhvNVJXUUlJSnB3bVhidEJad2FPdXVMMlJOcGNLR3VLcTRMV3k0aFhfQm53X2ZlQS1Gb0tfY1hwdkpOYUV4UldFSGpiOTFKYllXSVZNQ2J4MjgtRUFuZXNwUXN1TFo1bkp1R2NSRkZQU01fR0FUSzdRWnBQYWl0czRNdW1zUl90alctOUR6QW9JTUZjUlEtSHlGYnd6?oc=5"" target=""_blank"">以為是窮阿伯！拾荒老兵趙衍慶91歲辭世 清查遺產驚見「滿手台積電」</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",https://news.google.com/rss/articles/CBMi8ANBVV95cUxOSnFsWGdySm9Ud0xJU2FwUUlVOG9sX3FLTmttazVoUW9nZ2VQMEc4MnVMOEJOUDFPQllPOW5JNE5LUUU5cVpYN2pkWENwVDBsTDJSRmhHQXRJaE9uMGdVQk9YWHltWkxlRklTQ1NobDRMdmNrbFVRdVZmWHBTNnZ4MVJGWlZITkZ1NEktYVB2S3FWc0xiZjl1N1JfQWhmbUJ3R2RYZldyR0xic285X0s3bXRuZnJUY3pHZE92VExoak9zYVlFWnVFZUVzREpDSUxnMEFpUUdSSnliWUNIODdfU2kwdHdoUlFlS1R4dHlQVy1FTlR1RlZ4UEVrbHRCcWp4bUNBeUlzdDJXTXh1bnFOWXRBbVhNdHFhcXNFMi1KYzN4c0RTVXlmZW5leDV2b2UtZFY4Znh0VFp3RGhGOFNuQU91ZFAwMmRSUXdPWGlud1d6X0lnRUo4RW5BcDhvNVJXUUlJSnB3bVhidEJad2FPdXVMMlJOcGNLR3VLcTRMV3k0aFhfQm53X2ZlQS1Gb0tfY1hwdkpOYUV4UldFSGpiOTFKYllXSVZNQ2J4MjgtRUFuZXNwUXN1TFo1bkp1R2NSRkZQU01fR0FUSzdRWnBQYWl0czRNdW1zUl90alctOUR6QW9JTUZjUlEtSHlGYnd6?oc=5
2026-03-25,AI熱潮續延燒 專家點名台積電、Alphabet、博通為四月強勢買進股 - 商傳媒,"<a href=""https://news.google.com/rss/articles/CBMijANBVV95cUxQdG9Bclp2WFM0VmVmMkQ0eGlOVWJnR0ctcHA3cjI2T3JJWTJfLXlQSjROZVQwWEVZbjRjQjZuM0YxVUt6WkNjU3laSDB0a3JsZkswZlpDdFpucjUtaHdtcWFRbGE1ZjJ6cklUZWNpVzlrVXBHWlFIZnhkMG5Ca2Vna3ZWTVdvVERQT3ZWM1JpdmpsZnZ4V2laR084Q09ncU9xT0kzc2JDazZHVk4ydm9GUkxlcGVYRFlTNnRoM01ldnlJT1lkVWFLVUp0amNpRU1RbEJaRmdzRUJMR0Z6YktBLWxxdkR6NlBHX3EzZktPa08yQkxaeGh6ak8wbUZMdXltNlFad3RNcVdQRU9yMzdqOWs2aENwdUNocVpFU25wbnFqY1R5eWMzNFpLSjQxOVVNM1l4VFRkS3NxemJJQWgxc2puc3c1ZXFQX3VkSGN0c2ZSTVpCZFRtOU1kbDFaQXQxVHlCMzAxczFZcDFmaDZGNVF1MmdSXzRDaHJPOWxUSE9KY0llODhkbzhnT0k?oc=5"" target=""_blank"">AI熱潮續延燒 專家點名台積電、Alphabet、博通為四月強勢買進股</a>&nbsp;&nbsp;<font color=""#6f6f6f"">商傳媒</font>",https://news.google.com/rss/articles/CBMijANBVV95cUxQdG9Bclp2WFM0VmVmMkQ0eGlOVWJnR0ctcHA3cjI2T3JJWTJfLXlQSjROZVQwWEVZbjRjQjZuM0YxVUt6WkNjU3laSDB0a3JsZkswZlpDdFpucjUtaHdtcWFRbGE1ZjJ6cklUZWNpVzlrVXBHWlFIZnhkMG5Ca2Vna3ZWTVdvVERQT3ZWM1JpdmpsZnZ4V2laR084Q09ncU9xT0kzc2JDazZHVk4ydm9GUkxlcGVYRFlTNnRoM01ldnlJT1lkVWFLVUp0amNpRU1RbEJaRmdzRUJMR0Z6YktBLWxxdkR6NlBHX3EzZktPa08yQkxaeGh6ak8wbUZMdXltNlFad3RNcVdQRU9yMzdqOWs2aENwdUNocVpFU25wbnFqY1R5eWMzNFpLSjQxOVVNM1l4VFRkS3NxemJJQWgxc2puc3c1ZXFQX3VkSGN0c2ZSTVpCZFRtOU1kbDFaQXQxVHlCMzAxczFZcDFmaDZGNVF1MmdSXzRDaHJPOWxUSE9KY0llODhkbzhnT0k?oc=5
2026-03-23,【即時新聞】台積電今日受中東緊張局勢影響，股價若跌破1700元將吸引長線買盤 - cmnews.com.tw,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxNZ3lHeGlROEVKTndkeWZTWW5Kc0RVZWxEWXNsZ3ZlMi0zN1BSczZSREV6N2stLS1HTlJjaGc0MF9mbUFBM0ZZZ2x5WUZOZnY3alpWNHg4R3FqYXYtSDNOTkdIMkxVbGVCckxKNUpXcmo0YU5mUEFOeVhTaE9ESldtUzR5QjhsN2hNMUIzd0JidUw?oc=5"" target=""_blank"">【即時新聞】台積電今日受中東緊張局勢影響，股價若跌破1700元將吸引長線買盤</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cmnews.com.tw</font>",https://news.google.com/rss/articles/CBMikAFBVV95cUxNZ3lHeGlROEVKTndkeWZTWW5Kc0RVZWxEWXNsZ3ZlMi0zN1BSczZSREV6N2stLS1HTlJjaGc0MF9mbUFBM0ZZZ2x5WUZOZnY3alpWNHg4R3FqYXYtSDNOTkdIMkxVbGVCckxKNUpXcmo0YU5mUEFOeVhTaE9ESldtUzR5QjhsN2hNMUIzd0JidUw?oc=5
2026-03-23,地緣政治加劇！台積電卻仍穩如泰山 無懼理由外媒全說了 - 自由財經,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE9sS0kxQzNBRFg1WE8xNVJCajZ5a1dZeUxNSnQ3ajJIMDlhT3lKczZvZUVXRjVkOW9PLUJndTc4S3UydG9vSnFMbERxN0cyLVUtcmloSk9JbmJjcjlpb0VJ0gFkQVVfeXFMTVpXdDg4cHR1UzdWUUlCZ0dYc19QSXBfNmYxY0xpYVljbXU4b2liOW9zNnB4NDVLVVhPQmdhaDdWdURSdXpaNW5WZm1rSjI4ZlE3RldyLWdhX3ZBVkIzajlxaFVldA?oc=5"" target=""_blank"">地緣政治加劇！台積電卻仍穩如泰山 無懼理由外媒全說了</a>&nbsp;&nbsp;<font color=""#6f6f6f"">自由財經</font>",https://news.google.com/rss/articles/CBMiX0FVX3lxTE9sS0kxQzNBRFg1WE8xNVJCajZ5a1dZeUxNSnQ3ajJIMDlhT3lKczZvZUVXRjVkOW9PLUJndTc4S3UydG9vSnFMbERxN0cyLVUtcmloSk9JbmJjcjlpb0VJ0gFkQVVfeXFMTVpXdDg4cHR1UzdWUUlCZ0dYc19QSXBfNmYxY0xpYVljbXU4b2liOW9zNnB4NDVLVVhPQmdhaDdWdURSdXpaNW5WZm1rSjI4ZlE3RldyLWdhX3ZBVkIzajlxaFVldA?oc=5
2026-03-24,合庫金股利創3年新高 現金加股票共1.05元 - Yahoo股市,"<a href=""https://news.google.com/rss/articles/CBMiowJBVV95cUxObTdvMm5OdloxSjdOWTVic3A3OFVqS2NYd2s1ampqV1B4NGJIVkRLMWxieF94SzJ1UW1OQ2J3X29rVE9FbGs2ZTVXODRxeVJuc2tqS2poZHNpc2FUUVFMbGFXMUdNRjN3OUdqdEx6SmszaDY2SU82dm5JSEdqNnltWjA3Ym9xdTRESlFFczNNTHBCOW4wOS1zbXgzV3JnUlVCUDRJNFRqbHRYdG1jMGxZOWI3OGdHdzJDakxqV2xuZ3JqVlN2V2RrMXNKSmZ6MFVEb1dJVEJ3LWVZczB2N2VDa2dVazBvbGVjelppRTNzRzFSWlltOEFzUWlQMnZObnlHSTVWc1NVZGhTVW92Wk9GN2hZR2V0Y1dIMk5kNFVpdHFULTQ?oc=5"" target=""_blank"">合庫金股利創3年新高 現金加股票共1.05元</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo股市</font>",https://news.google.com/rss/articles/CBMiowJBVV95cUxObTdvMm5OdloxSjdOWTVic3A3OFVqS2NYd2s1ampqV1B4NGJIVkRLMWxieF94SzJ1UW1OQ2J3X29rVE9FbGs2ZTVXODRxeVJuc2tqS2poZHNpc2FUUVFMbGFXMUdNRjN3OUdqdEx6SmszaDY2SU82dm5JSEdqNnltWjA3Ym9xdTRESlFFczNNTHBCOW4wOS1zbXgzV3JnUlVCUDRJNFRqbHRYdG1jMGxZOWI3OGdHdzJDakxqV2xuZ3JqVlN2V2RrMXNKSmZ6MFVEb1dJVEJ3LWVZczB2N2VDa2dVazBvbGVjelppRTNzRzFSWlltOEFzUWlQMnZObnlHSTVWc1NVZGhTVW92Wk9GN2hZR2V0Y1dIMk5kNFVpdHFULTQ?oc=5
